Diversity	LongTemp	CUETemp	Moisture	SampleID	DNAug.g_new	GROWTH	CumulativeRespiration	CUE	16S_simpson	16S_shannon	16S_inversedSimpson	16S_OUTs	16S_J	16S_PD
SF	25	25	60	176	13.3028307	0.162616535	1.479829021	9.900878283	0.840324454	2.135062285	6.26269973	22	0.690725643	1
SF	25	25	60	177	4.079081002	2.098861204	1.327621293	61.25410551	0.905862799	2.613612125	10.62279297	38	0.718501778	2
SF	25	25	60	178	2.153289417	0.110617997	0.295991138	27.20499546	0.775868837	1.861418571	4.461673176	28	0.558614744	1
SF	25	25	60	179	7.690652286	0	-0.00165953	NA	NA	NA	NA	NA	NA	NA
SF	25	25	60	180	7.426375282	0.065277662	0.404227745	13.90349528	0.824576393	2.315624324	5.700487035	43	0.615661026	1
Bonly	15	15	30	181	0.677537663	0.00491763	0.022017228	18.25749256	0.721256758	2.712248408	3.587530926	163	0.532465924	NA
Bonly	15	15	30	182	8.625768637	0.001144799	0.082900319	1.362124577	0.062165593	0.157800823	1.066286321	7	0.081093582	1
Bonly	15	15	30	183	-0.026662948	0	0.022017228	NA	NA	NA	NA	NA	NA	NA
Bonly	15	15	30	184	0.06497919	0	0.011870046	NA	0.006999809	0.030576088	1.007049152	19	0.010384351	3
Bonly	15	15	30	185	0.162259919	0	0.011870046	NA	0.02897504	0.104879552	1.029839645	22	0.033930156	3
Bonly	15	15	60	186	1.672484178	0.013084183	0.069370743	15.86828523	0.764442235	1.755081032	4.245243205	30	0.516018577	3
Bonly	15	15	60	187	6.889286143	0.005413613	0.069370743	7.238964836	0.227412768	0.470199638	1.294352222	9	0.213997077	1
Bonly	15	15	60	188	7.071684412	0.001820622	0.43466929	0.417105252	0.657614473	1.20693817	2.920684206	17	0.425996218	2
Bonly	15	15	60	189	23.2005152	0.00314935	0.519229139	0.602886613	0.790122923	1.820420408	4.764693755	18	0.629822238	1
Bonly	15	15	60	190	25.1091347	0.067972048	0.715407988	8.676765372	0.479572622	1.084149281	1.921497681	12	0.436293766	1
Bonly	25	25	30	191	7.007246377	0.004324153	0.018634834	18.83425087	0.013726698	0.047287366	1.013917743	7	0.024300899	1
Bonly	25	25	30	192	4.366292876	0.085915163	0.803350231	9.661363583	0.011039838	0.042580383	1.011163077	8	0.020476836	1
Bonly	25	25	30	193	0.131731944	0.006763585	0.084876522	7.380594792	0.4935523	1.013155872	1.97453755	27	0.307404739	4
Bonly	25	25	30	194	6.429088272	0.004895474	0.04907638	9.070420938	0.603449008	1.525935009	2.521743787	16	0.550364718	1
Bonly	25	25	30	195	1.997133616	0.049111819	0.140401016	25.91477179	0.845725857	1.980958594	6.481967634	15	0.731507338	2
Bonly	25	25	60	196	7.559027395	0.039948292	0.065988349	37.70960756	0.735685279	1.628884814	3.783368534	19	0.55320719	2
Bonly	25	25	60	197	10.87942172	0.147090144	0.346727047	29.78635553	0.184780956	0.493292661	1.22666418	14	0.186920025	2
Bonly	25	25	60	198	2.276541812	0.20710811	0.319667896	39.31616238	0.816435873	2.240952098	5.447687491	39	0.611686745	3
Bonly	25	25	60	199	9.076288844	0.012180528	0.948793171	1.267519402	0.55250852	1.353865975	2.234679418	13	0.527833414	1
Bonly	25	25	60	200	24.91562448	0.016876863	0.089665107	15.84057715	0.780645083	1.782526649	4.55882191	13	0.694955884	1
